2024-08-12 01:35:56,877 INFO    MainThread:42551 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
config: {'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'rw', 'self_loop_weight': 1, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': True, 'm2_mlp': True, 'time': 3.790184078169178, 'augment': False, 'method': 'rk4', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'bspm', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade-sweep', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': device(type='cuda', index=0)}
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_init.py:init():619] starting backend
2024-08-12 01:35:56,878 INFO    MainThread:42551 [wandb_init.py:init():623] setting up manager
2024-08-12 01:35:56,884 INFO    MainThread:42551 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-12 01:35:56,885 INFO    MainThread:42551 [wandb_init.py:init():631] backend started and connected
2024-08-12 01:35:56,896 INFO    MainThread:42551 [wandb_run.py:_config_callback():1382] config_cb None None {'XN_activation': False, 'alpha_dim': 'sc', 'beta_dim': 'vc', 'data_norm': 'gcn', 'dataset': 'Cora', 'epoch': 200, 'hidden_dim': 128, 'm2_mlp': False, 'method': 'rk4', 'reaction_term': 'aggdiff-gat', 'self_loop_weight': 1, 'step_size': 0.25, 'time': 2.45, 'use_mlp': False}
2024-08-12 01:35:56,897 INFO    MainThread:42551 [wandb_init.py:init():720] updated telemetry
2024-08-12 01:35:56,898 INFO    MainThread:42551 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-08-12 01:35:57,963 INFO    MainThread:42551 [wandb_run.py:_on_init():2435] communicating current version
2024-08-12 01:36:02,965 INFO    MainThread:42551 [wandb_run.py:_on_init():2444] got version response 
2024-08-12 01:36:02,966 INFO    MainThread:42551 [wandb_init.py:init():804] starting run threads in backend
2024-08-12 01:36:07,641 INFO    MainThread:42551 [wandb_run.py:_console_start():2413] atexit reg
2024-08-12 01:36:07,641 INFO    MainThread:42551 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-08-12 01:36:07,641 INFO    MainThread:42551 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-08-12 01:36:07,641 INFO    MainThread:42551 [wandb_run.py:_redirect():2345] Redirects installed.
2024-08-12 01:36:07,643 INFO    MainThread:42551 [wandb_init.py:init():847] run started, returning control to user process
2024-08-12 01:54:24,103 INFO    MainThread:42551 [wandb_run.py:_finish():2107] finishing run wxy-ucas/src/frhi8dnu
2024-08-12 01:54:24,104 INFO    MainThread:42551 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2024-08-12 01:54:24,104 INFO    MainThread:42551 [wandb_run.py:_restore():2352] restore
2024-08-12 01:54:24,104 INFO    MainThread:42551 [wandb_run.py:_restore():2358] restore done
2024-08-12 01:54:32,400 INFO    MainThread:42551 [wandb_run.py:_footer_history_summary_info():4016] rendering history
2024-08-12 01:54:32,401 INFO    MainThread:42551 [wandb_run.py:_footer_history_summary_info():4048] rendering summary
2024-08-12 01:54:32,408 INFO    MainThread:42551 [wandb_run.py:_footer_sync_info():3975] logging synced files
